1,017109dc-2555-4a69-94a4-a9916a347875,ALEATORIA,2022-07-29 10:44:31.547301,1
2,+5521973861145,TELEFONE,2022-11-15 04:13:39.70892,1
3,+5521995901147,TELEFONE,2022-12-01 23:16:29.348861,1
4,85859258368,CPF,2022-02-27 02:24:39.520181,1
6,contato001_01@correio.xyz,EMAIL,2025-04-18 02:08:53.366449,2
7,+5521977352029,TELEFONE,2025-05-12 22:18:42.101662,2
8,fbf8f6c2-1cf9-45bc-b913-a79bca183020,ALEATORIA,2025-02-18 17:20:39.094907,2
9,+5521989638084,TELEFONE,2025-05-15 16:03:27.978487,2
10,contato001_01@pessoal.net,EMAIL,2025-05-14 01:36:53.813206,3
11,contato001_02@correio.xyz,EMAIL,2025-04-30 05:22:00.284567,3
12,contato002_01@servico.io,EMAIL,2023-11-26 17:03:43.982212,4
13,1ca616cd-6b44-47ee-b8ee-47ccc9d70b01,ALEATORIA,2025-01-01 17:32:31.777123,4
14,57796521933,CPF,2024-10-21 08:51:44.716326,4
15,contato002_04@pessoal.net,EMAIL,2025-02-15 23:15:46.979294,4
16,+5521973723207,TELEFONE,2023-02-22 20:40:34.429042,5
17,+5521984626035,TELEFONE,2024-07-18 09:54:16.414682,6
19,contato002_03@correio.xyz,EMAIL,2024-03-31 13:45:18.687939,6
20,911e798d-fbe7-4600-87a4-8c2c70eea2ea,ALEATORIA,2022-06-02 02:04:11.063747,6
21,contato002_05@servico.io,EMAIL,2023-12-30 06:22:47.855822,6
22,+5521976749430,TELEFONE,2025-03-21 21:31:14.654745,7
23,+5521978124061,TELEFONE,2024-11-24 13:36:38.830133,7
24,622492c5-1c22-4708-b4d1-172b993ba5e7,ALEATORIA,2025-03-19 17:27:09.404743,7
25,contato003_01@pessoal.net,EMAIL,2025-03-03 11:42:06.430262,8
26,contato003_02@servico.io,EMAIL,2024-06-01 02:01:50.215213,8
27,contato004_01@pessoal.net,EMAIL,2024-09-08 16:15:24.397923,9
28,c420bab4-4b80-4362-a7e8-d1d720ad1a43,ALEATORIA,2024-09-24 03:08:33.783409,9
29,0933a66c-773e-498a-a8a3-f8262b520b9a,ALEATORIA,2025-04-24 11:11:51.654676,9
30,cfddd54b-f6e8-4d40-87b1-50057b8811d6,ALEATORIA,2025-05-16 20:42:31.197279,9
31,73592136087,CPF,2025-03-24 08:38:59.091588,10
32,4ee1d7fe-bda8-4217-a633-a6e917b8668d,ALEATORIA,2023-07-28 07:48:37.218612,10
33,e22b705f-d0d1-4b05-8653-5e5a83bd0a00,ALEATORIA,2024-03-08 09:12:47.737166,10
34,+5521987510205,TELEFONE,2023-07-13 09:27:01.620159,10
35,+5521999600631,TELEFONE,2022-10-02 16:25:48.443698,11
36,f5ba083a-f5be-4a21-b452-08d03cf6eefb,ALEATORIA,2022-07-27 09:18:09.905394,11
37,+5521996072989,TELEFONE,2023-01-04 06:51:30.72013,11
38,+5521977295925,TELEFONE,2022-12-31 20:32:50.507679,11
39,contato005_01@correio.xyz,EMAIL,2023-12-06 16:29:09.134003,12
40,+5521991444314,TELEFONE,2025-02-26 21:20:55.954394,12
41,af2a572a-b2cf-4609-b1d9-0347217e7404,ALEATORIA,2025-05-20 06:29:07.394787,13
